37983,3536,1,RB,1,100,2025-10-31_12-35-32-301594
37985,3537,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
37999,3538,1,TL,1,100,2025-10-31_12-35-27-488150
38001,3539,2,AK,1,100,2689,RD
38001,3540,2,RD,1,100,TL,TU
38087,3541,3,PI,1,100,174969,175070,174986
38087,3542,3,PR,1,100,151990,152021,151998
38087,3543,3,PG,1,100,12510,12497,12508
38086,3544,2,EA,1,100,2.912028,2.910804
38086,3545,2,EL,1,100,-19120.800781,-19120.599609
38012,3546,1,T1,1,100,24.586
38027,3547,1,TH,1,100,23.241
38087,3548,3,AX,1,100,-1.076,-1.076,-1.075
38087,3549,3,AY,1,100,0.199,0.195,0.190
38087,3550,3,AZ,1,100,0.011,0.016,0.003
38087,3551,3,GX,1,100,-0.488,-0.824,-0.671
38087,3552,3,GY,1,100,-0.153,0.153,-0.183
38087,3553,3,GZ,1,100,0.244,0.244,0.031
38087,3554,3,MX,1,100,98,98,97
38087,3555,3,MY,1,100,-43,-43,-42
38087,3556,3,MZ,1,100,-1,-1, 0
38186,3557,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
38167,3558,2,PI,1,100,174449,174136
38167,3559,2,PR,1,100,151861,151774
38167,3560,2,PG,1,100,12489,12461
38152,3561,1,EA,1,100,2.909593
38152,3562,1,EL,1,100,-19120.400391
38146,3563,1,T1,1,100,24.537
38160,3564,1,TH,1,100,23.203
38207,3565,3,AX,1,100,-1.073,-1.076,-1.074
38207,3566,3,AY,1,100,0.197,0.200,0.204
38207,3567,3,AZ,1,100,0.007,0.011,0.008
38207,3568,3,GX,1,100,-0.732,-0.824,-0.580
38207,3569,3,GY,1,100,0.000,0.061,0.031
38207,3570,3,GZ,1,100,-0.092,-0.122,-0.092
38207,3571,3,MX,1,100,98,97,97
38207,3572,3,MY,1,100,-41,-43,-42
38207,3573,3,MZ,1,100,-1, 0, 0
38286,3574,1,SF,1,100,0.0000
38287,3575,3,PI,1,100,174114,174141,174152
38287,3576,3,PR,1,100,151759,151770,151750
38287,3577,3,PG,1,100,12457,12426,12426
38286,3578,2,EA,1,100,2.907161,2.908370
38286,3579,2,EL,1,100,-19120.000000,-19120.199219
38279,3580,1,T1,1,100,24.587
38294,3581,1,TH,1,100,23.203
38287,3582,2,AX,1,100,-1.073,-1.075
38287,3583,2,AY,1,100,0.191,0.193
38287,3584,2,AZ,1,100,0.008,0.008
38287,3585,2,GX,1,100,-0.397,-0.336
38287,3586,2,GY,1,100,-0.183,-0.153
38287,3587,2,GZ,1,100,-0.244,-0.061
38287,3588,2,MX,1,100,97,97
38287,3589,2,MY,1,100,-44,-42
38287,3590,2,MZ,1,100, 0, 0
38387,3591,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
38367,3592,2,PI,1,100,174230,174263
38367,3593,2,PR,1,100,151775,151775
38367,3594,2,PG,1,100,12429,12432
38352,3595,1,EA,1,100,2.907161
38352,3596,1,EL,1,100,-19120.000000
38367,3597,2,AX,1,100,-1.073,-1.074
38367,3598,2,AY,1,100,0.191,0.197
38367,3599,2,AZ,1,100,0.010,0.009
38367,3600,2,GX,1,100,-0.366,-0.549
38367,3601,2,GY,1,100,-0.061,-0.153
38367,3602,2,GZ,1,100,0.214,0.305
38367,3603,2,MX,1,100,98,97
38367,3604,2,MY,1,100,-42,-42
38367,3605,2,MZ,1,100, 0, 0
38500,3606,3,PI,1,100,174249,174259,174320
38500,3607,3,PR,1,100,151765,151787,151777
38500,3608,3,PG,1,100,12424,12409,12414
38486,3609,2,EA,1,100,2.907161,2.907161
38486,3610,2,EL,1,100,-19120.000000,-19120.000000
38412,3611,1,T1,1,100,24.644
38427,3612,1,TH,1,100,23.276
38486,3613,3,AX,1,100,-1.081,-1.077,-1.075
38486,3614,3,AY,1,100,0.199,0.195,0.194
38486,3615,3,AZ,1,100,0.008,0.009,0.007
38486,3616,3,GX,1,100,-0.580,-0.183,-0.183
38486,3617,3,GY,1,100,-0.122,-0.031,0.000
38486,3618,3,GZ,1,100,0.397,0.153,-0.031
38486,3619,3,MX,1,100,97,97,98
38486,3620,3,MY,1,100,-43,-42,-42
38486,3621,3,MZ,1,100,-1, 0, 0
38588,3622,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
38540,3623,1,BI,1,100,840
38540,3624,1,HR,1,100,70.68
38552,3625,1,SF,1,100,0.0000
38580,3626,2,PI,1,100,174424,174474
38580,3627,2,PR,1,100,151805,151834
38580,3628,2,PG,1,100,12421,12425
38552,3629,1,EA,1,100,2.907161
38552,3630,1,EL,1,100,-19120.000000
38545,3631,1,T1,1,100,24.704
38560,3632,1,TH,1,100,23.276
38593,3633,3,AX,1,100,-1.073,-1.075,-1.078
38593,3634,3,AY,1,100,0.191,0.193,0.199
38593,3635,3,AZ,1,100,0.011,0.009,0.006
38593,3636,3,GX,1,100,-0.214,-0.488,-0.732
38593,3637,3,GY,1,100,0.000,0.000,-0.061
38593,3638,3,GZ,1,100,-0.153,0.031,0.031
38593,3639,3,MX,1,100,98,97,97
38593,3640,3,MY,1,100,-42,-42,-43
38593,3641,3,MZ,1,100,-2, 0, 0
38700,3642,3,PI,1,100,174543,174593,174633
38700,3643,3,PR,1,100,151819,151842,151848
38700,3644,3,PG,1,100,12426,12439,12429
38686,3645,2,EA,1,100,2.907161,2.908370
38686,3646,2,EL,1,100,-19120.000000,-19120.199219
38679,3647,1,T1,1,100,24.624
38694,3648,1,TH,1,100,23.181
38673,3649,2,AX,1,100,-1.073,-1.073
38673,3650,2,AY,1,100,0.199,0.196
38673,3651,2,AZ,1,100,0.006,0.010
38673,3652,2,GX,1,100,-0.519,-0.427
38673,3653,2,GY,1,100,-0.031,-0.092
38673,3654,2,GZ,1,100,0.061,0.000
38673,3655,2,MX,1,100,98,97
38673,3656,2,MY,1,100,-43,-43
38673,3657,2,MZ,1,100, 0,-1
38789,3658,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
38780,3659,2,PI,1,100,174698,174759
38780,3660,2,PR,1,100,151872,151874
38780,3661,2,PG,1,100,12439,12448
38752,3662,1,EA,1,100,2.907161
38752,3663,1,EL,1,100,-19120.000000
38812,3664,1,T1,1,100,24.624
38793,3665,3,AX,1,100,-1.073,-1.075,-1.079
38793,3666,3,AY,1,100,0.197,0.196,0.194
38793,3667,3,AZ,1,100,0.010,0.008,0.009
38793,3668,3,GX,1,100,-0.336,-0.275,-0.244
38793,3669,3,GY,1,100,-0.183,-0.214,-0.336
38793,3670,3,GZ,1,100,0.031,0.214,0.031
38793,3671,3,MX,1,100,98,98,97
38793,3672,3,MY,1,100,-42,-41,-41
38793,3673,3,MZ,1,100,-1,-1, 0
38886,3674,1,SF,1,100,0.0000
38900,3675,3,PI,1,100,174823,174903,174932
38900,3676,3,PR,1,100,151885,151919,151905
38900,3677,3,PG,1,100,12453,12450,12443
38886,3678,2,EA,1,100,2.907161,2.907161
38886,3679,2,EL,1,100,-19120.000000,-19120.000000
38827,3680,1,TH,1,100,23.188
38913,3681,3,AX,1,100,-1.076,-1.076,-1.073
38913,3682,3,AY,1,100,0.198,0.193,0.198
38913,3683,3,AZ,1,100,0.010,0.013,0.005
38913,3684,3,GX,1,100,-0.366,-0.549,-0.458
38913,3685,3,GY,1,100,-0.183,-0.183,-0.366
38913,3686,3,GZ,1,100,0.153,0.092,0.031
38913,3687,3,MX,1,100,97,98,97
38913,3688,3,MY,1,100,-43,-42,-42
38913,3689,3,MZ,1,100, 0, 0,-1
38990,3690,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
38980,3691,2,PI,1,100,174461,174054
38980,3692,2,PR,1,100,151783,151672
38980,3693,2,PG,1,100,12449,12407
38952,3694,1,EA,1,100,2.907161
38952,3695,1,EL,1,100,-19120.000000
38945,3696,1,T1,1,100,24.731
38960,3697,1,TH,1,100,23.283
38993,3698,2,AX,1,100,-1.073,-1.078
38993,3699,2,AY,1,100,0.199,0.193
38993,3700,2,AZ,1,100,0.008,0.008
38993,3701,2,GX,1,100,-0.580,-0.519
38993,3702,2,GY,1,100,-0.153,-0.122
38993,3703,2,GZ,1,100,-0.061,-0.214
38993,3704,2,MX,1,100,98,98
38993,3705,2,MY,1,100,-42,-42
38993,3706,2,MZ,1,100,-1,-1
39100,3707,3,PI,1,100,174009,174032,174011
39100,3708,3,PR,1,100,151653,151664,151648
39100,3709,3,PG,1,100,12376,12363,12350
39086,3710,2,EA,1,100,2.907161,2.907161
39086,3711,2,EL,1,100,-19120.000000,-19120.000000
39079,3712,1,T1,1,100,24.777
39094,3713,1,TH,1,100,23.283
39113,3714,3,AX,1,100,-1.070,-1.078,-1.078
39113,3715,3,AY,1,100,0.194,0.192,0.188
39113,3716,3,AZ,1,100,0.011,0.011,0.006
39113,3717,3,GX,1,100,-0.214,-0.244,-0.183
39113,3718,3,GY,1,100,-0.214,-0.397,-0.183
39113,3719,3,GZ,1,100,0.183,0.153,-0.092
39113,3720,3,MX,1,100,97,97,97
39113,3721,3,MY,1,100,-42,-43,-41
39113,3722,3,MZ,1,100, 0, 0, 0
39195,3723,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
39219,3724,1,SF,1,100,0.0000
39220,3725,3,PI,1,100,174032,174134,174137
39220,3726,3,PR,1,100,151660,151667,151672
39220,3727,3,PG,1,100,12342,12349,12347
39219,3728,2,EA,1,100,2.907161,2.905953
39219,3729,2,EL,1,100,-19120.000000,-19119.800781
39212,3730,1,T1,1,100,24.620
39227,3731,1,TH,1,100,23.253
39193,3732,2,AX,1,100,-1.067,-1.078
39193,3733,2,AY,1,100,0.192,0.202
39193,3734,2,AZ,1,100,0.015,0.009
39193,3735,2,GX,1,100,-0.214,-0.732
39193,3736,2,GY,1,100,-0.244,-0.275
39193,3737,2,GZ,1,100,-0.061,0.366
39193,3738,2,MX,1,100,97,97
39193,3739,2,MY,1,100,-40,-43
39193,3740,2,MZ,1,100, 0,-1
39300,3741,2,PI,1,100,174124,174163
39300,3742,2,PR,1,100,151670,151675
39300,3743,2,PG,1,100,12352,12329
39285,3744,1,EA,1,100,2.907161
39285,3745,1,EL,1,100,-19120.000000
39300,3746,3,AX,1,100,-1.083,-1.074,-1.074
39300,3747,3,AY,1,100,0.200,0.195,0.192
39300,3748,3,AZ,1,100,0.005,0.012,0.005
39300,3749,3,GX,1,100,-0.397,0.214,-0.183
39300,3750,3,GY,1,100,-0.031,-0.031,0.000
39300,3751,3,GZ,1,100,0.397,0.061,-0.214
39300,3752,3,MX,1,100,98,98,97
39300,3753,3,MY,1,100,-43,-43,-43
39300,3754,3,MZ,1,100,-1, 0, 0
39395,3755,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
39380,3756,1,BI,1,100,840
39380,3757,1,HR,1,100,70.84
39420,3758,3,PI,1,100,174247,174334,174364
39420,3759,3,PR,1,100,151697,151713,151701
39420,3760,3,PG,1,100,12338,12339,12345
39419,3761,2,EA,1,100,2.904734,2.904734
39419,3762,2,EL,1,100,-19119.599609,-19119.599609
39345,3763,1,T1,1,100,24.694
39360,3764,1,TH,1,100,23.253
39420,3765,3,AX,1,100,-1.079,-1.073,-1.075
39420,3766,3,AY,1,100,0.185,0.196,0.195
39420,3767,3,AZ,1,100,0.012,0.006,0.008
39420,3768,3,GX,1,100,-0.305,-0.793,-0.763
39420,3769,3,GY,1,100,0.183,0.122,0.000
39420,3770,3,GZ,1,100,0.122,0.092,0.031
39420,3771,3,MX,1,100,97,97,97
39420,3772,3,MY,1,100,-43,-42,-43
39420,3773,3,MZ,1,100,-1, 0, 0
39500,3774,2,PI,1,100,174442,174463
39500,3775,2,PR,1,100,151725,151733
39500,3776,2,PG,1,100,12337,12361
39485,3777,1,EA,1,100,2.903527
39485,3778,1,EL,1,100,-19119.400391
39479,3779,1,T1,1,100,24.690
39493,3780,1,TH,1,100,23.261
39500,3781,2,AX,1,100,-1.074,-1.076
39500,3782,2,AY,1,100,0.199,0.200
39500,3783,2,AZ,1,100,0.005,0.009
39500,3784,2,GX,1,100,-0.305,-0.427
39500,3785,2,GY,1,100,-0.092,0.061
39500,3786,2,GZ,1,100,0.183,-0.061
39500,3787,2,MX,1,100,97,97
39500,3788,2,MY,1,100,-43,-42
39500,3789,2,MZ,1,100, 0, 0
39596,3790,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
39619,3791,1,SF,1,100,0.0000
39620,3792,3,PI,1,100,174522,174576,174645
39620,3793,3,PR,1,100,151726,151743,151755
39620,3794,3,PG,1,100,12351,12351,12350
39619,3795,2,EA,1,100,2.904734,2.902310
39619,3796,2,EL,1,100,-19119.599609,-19119.199219
39612,3797,1,T1,1,100,24.724
39627,3798,1,TH,1,100,23.261
39620,3799,3,AX,1,100,-1.073,-1.073,-1.081
39620,3800,3,AY,1,100,0.192,0.194,0.196
39620,3801,3,AZ,1,100,0.010,0.004,0.011
39620,3802,3,GX,1,100,-0.275,-0.275,-0.397
39620,3803,3,GY,1,100,-0.031,-0.122,-0.275
39620,3804,3,GZ,1,100,-0.092,-0.092,0.000
39620,3805,3,MX,1,100,97,97,98
39620,3806,3,MY,1,100,-41,-43,-42
39620,3807,3,MZ,1,100, 0, 0,-1
39700,3808,2,PI,1,100,174707,174783
39700,3809,2,PR,1,100,151787,151787
39700,3810,2,PG,1,100,12373,12375
39685,3811,1,EA,1,100,2.902310
39685,3812,1,EL,1,100,-19119.199219
39700,3813,2,AX,1,100,-1.077,-1.070
39700,3814,2,AY,1,100,0.189,0.193
39700,3815,2,AZ,1,100,0.010,0.010
39700,3816,2,GX,1,100,-0.549,-0.580
39700,3817,2,GY,1,100,-0.092,-0.244
39700,3818,2,GZ,1,100,0.183,0.153
39700,3819,2,MX,1,100,97,97
39700,3820,2,MY,1,100,-43,-43
39700,3821,2,MZ,1,100,-1,-1
39797,3822,4,EM,1,100,RS,RB,2025-10-31_12-35-32-301594.csv,PS,MN
39820,3823,3,PI,1,100,174496,173998,173882
39820,3824,3,PR,1,100,151712,151568,151543
39820,3825,3,PG,1,100,12352,12327,12302
39819,3826,2,EA,1,100,2.901106,2.903527
